City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
121,Auki,-8.77,160.7,84.0,73,24,4.0,SB,moderate rain
122,Atuona,-9.8,-139.03,78.66,77,19,18.61,PF,light rain
123,Pevek,69.7,170.31,45.68,69,27,14.58,RU,scattered clouds
124,Busselton,-33.65,115.33,60.01,62,13,8.99,AU,light rain
125,Provideniya,64.38,-173.3,44.6,65,75,26.84,RU,broken clouds
126,Klaksvik,62.23,-6.59,51.8,100,100,9.17,FO,heavy intensity drizzle
127,Victoria,22.29,114.16,88.0,74,67,8.01,HK,broken clouds
128,Iqaluit,63.75,-68.51,39.2,80,40,6.93,CA,scattered clouds
129,Neutraubling,48.98,12.2,57.0,76,20,2.86,DE,few clouds
130,Bluff,-46.6,168.33,52.68,76,17,12.44,NZ,few clouds
131,Longyearbyen,78.22,15.64,39.2,86,75,8.05,SJ,broken clouds
132,Bredasdorp,-34.53,20.04,44.6,93,0,2.24,ZA,clear sky
133,Rikitea,-23.12,-134.97,72.95,85,0,9.13,PF,clear sky
134,Ostrovnoy,68.05,39.51,51.62,81,52,16.13,RU,broken clouds
135,Atuona,-9.8,-139.03,78.66,77,19,18.61,PF,light rain
136,Butaritari,3.07,172.79,83.32,75,99,14.99,KI,overcast clouds
137,Hilo,19.73,-155.09,82.4,61,90,8.05,US,overcast clouds
138,Tyup,42.73,78.36,55.02,55,53,6.71,KG,broken clouds
139,Sironj,24.1,77.7,83.86,71,0,7.85,IN,clear sky
140,Busselton,-33.65,115.33,60.01,62,13,8.99,AU,light rain
141,Chokurdakh,70.63,147.92,53.82,42,2,9.31,RU,clear sky
142,Kapaa,22.08,-159.32,82.4,74,40,13.87,US,scattered clouds
143,Torbay,47.67,-52.73,57.0,76,75,12.75,CA,broken clouds
144,Slobodskoy,58.73,50.18,53.65,86,7,4.72,RU,clear sky
145,Batagay-Alyta,67.8,130.41,43.12,82,100,7.16,RU,overcast clouds
146,Atuona,-9.8,-139.03,78.66,77,19,18.61,PF,light rain
147,Cervo,43.67,-7.41,60.01,1,98,17.56,ES,overcast clouds
148,Warrnambool,-38.38,142.48,71.01,47,80,15.99,AU,broken clouds
149,Busselton,-33.65,115.33,60.01,62,13,8.99,AU,light rain
150,Jamestown,42.1,-79.24,64.99,72,40,9.17,US,scattered clouds
151,Busselton,-33.65,115.33,60.01,62,13,8.99,AU,light rain
152,Westport,41.14,-73.36,71.6,78,1,4.7,US,clear sky
153,Gisborne,-38.65,178.0,57.0,55,42,11.01,NZ,scattered clouds
154,Ushuaia,-54.8,-68.3,35.6,89,40,10.29,AR,scattered clouds
155,Tuatapere,-46.13,167.68,55.2,62,8,6.35,NZ,clear sky
156,Tasiilaq,65.61,-37.64,35.6,100,81,1.12,GL,mist
157,Ushuaia,-54.8,-68.3,35.6,89,40,10.29,AR,scattered clouds
158,Longhua,23.61,114.19,85.68,77,99,2.46,CN,moderate rain
159,Jamestown,42.1,-79.24,64.99,72,40,9.17,US,scattered clouds
160,Dire,12.28,-10.97,71.83,97,100,3.47,ML,light rain
161,Qaanaaq,77.48,-69.36,20.59,81,0,5.37,GL,clear sky
162,Januaria,-15.48,-44.37,67.57,66,0,4.9,BR,clear sky
163,Khatanga,71.97,102.5,52.9,55,0,4.72,RU,clear sky
164,Katsuura,35.13,140.3,91.99,66,75,20.8,JP,broken clouds
165,Portneuf,46.69,-71.89,53.01,93,1,4.16,CA,clear sky
166,Georgetown,5.41,100.34,87.8,70,20,4.7,MY,few clouds
167,Torbay,47.67,-52.73,57.0,76,75,12.75,CA,broken clouds
168,Tasiilaq,65.61,-37.64,35.6,100,81,1.12,GL,mist
169,Praia,14.92,-23.51,78.8,83,40,11.41,CV,scattered clouds
170,Ketchikan,55.34,-131.65,60.8,100,1,11.41,US,clear sky
171,Rikitea,-23.12,-134.97,72.95,85,0,9.13,PF,clear sky
172,Namibe,-15.2,12.15,67.62,88,72,0.96,AO,broken clouds
173,Cururupu,-1.83,-44.87,73.49,89,9,3.31,BR,clear sky
174,Hofn,64.25,-15.21,51.66,82,3,10.16,IS,clear sky
175,Avarua,-21.21,-159.78,68.0,82,39,8.05,CK,light rain
176,Svetlaya,46.54,138.33,72.28,66,86,4.43,RU,overcast clouds
177,Nanortalik,60.14,-45.24,44.44,94,100,4.59,GL,overcast clouds
178,Saint-Georges,12.06,-61.75,80.6,83,40,6.93,GD,scattered clouds
179,Albany,42.6,-73.97,60.01,71,7,3.11,US,clear sky
180,Mataura,-46.19,168.86,56.73,54,26,3.38,NZ,scattered clouds
181,Lavrentiya,65.58,-171.0,43.38,70,99,28.12,RU,overcast clouds
182,Kavieng,-2.57,150.8,85.41,70,2,12.12,PG,clear sky
183,Selcuk,37.95,27.37,75.2,60,0,10.29,TR,clear sky
184,Mataura,-46.19,168.86,56.73,54,26,3.38,NZ,scattered clouds
185,Khatanga,71.97,102.5,52.9,55,0,4.72,RU,clear sky
186,Hobart,-42.88,147.33,72.0,42,100,16.11,AU,overcast clouds
187,Kapaa,22.08,-159.32,82.4,74,40,13.87,US,scattered clouds
188,Ushuaia,-54.8,-68.3,35.6,89,40,10.29,AR,scattered clouds
189,Labytnangi,66.66,66.42,50.61,75,100,6.15,RU,overcast clouds
190,Upernavik,72.79,-56.15,34.32,87,99,8.46,GL,overcast clouds
191,Saldanha,-33.01,17.94,50.0,81,0,2.24,ZA,clear sky
192,Sungaipenuh,-2.08,101.38,80.85,54,26,2.39,ID,scattered clouds
193,Esperance,-33.87,121.9,60.8,63,75,25.28,AU,broken clouds
194,Bluff,-46.6,168.33,52.68,76,17,12.44,NZ,few clouds
195,Busselton,-33.65,115.33,60.01,62,13,8.99,AU,light rain
196,Tuktoyaktuk,69.45,-133.04,44.6,70,5,10.29,CA,clear sky
197,Khani,41.96,42.96,68.0,100,90,4.7,GE,light rain
198,Hilo,19.73,-155.09,82.4,61,90,8.05,US,overcast clouds
