City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Victoria,HK,2020-09-06 02:17:03,22.29,114.16,87.01,79,21,10.0
71,Belmonte,BR,2020-09-06 02:20:44,-15.86,-38.88,69.8,94,40,2.24
72,Ahipara,NZ,2020-09-06 02:20:44,-35.17,173.17,58.42,71,100,13.69
73,Balabac,PH,2020-09-06 02:20:45,7.99,117.06,87.84,61,6,3.67
74,Chokurdakh,RU,2020-09-06 02:20:45,70.63,147.92,50.27,48,98,10.71
75,Yellowknife,CA,2020-09-06 02:19:36,62.46,-114.35,50.0,53,75,6.93
76,Tura,IN,2020-09-06 02:20:45,25.52,90.22,78.12,93,100,5.12
77,Waipawa,NZ,2020-09-06 02:20:46,-41.41,175.52,59.0,82,100,19.46
78,Hilo,US,2020-09-06 02:20:46,19.73,-155.09,87.8,45,1,11.41
79,Snezhnogorsk,RU,2020-09-06 02:20:46,69.19,33.25,53.6,93,100,4.47
80,Zlobin,HR,2020-09-06 02:20:46,45.29,14.65,66.2,82,0,1.95
81,Eyl,SO,2020-09-06 02:20:47,7.98,49.82,75.45,73,70,13.29
82,Pietersburg,ZA,2020-09-06 02:20:47,-23.9,29.47,46.4,81,0,2.71
83,Robinson,US,2020-09-06 02:20:25,31.47,-97.11,78.8,88,40,2.84
84,Zhangye,CN,2020-09-06 02:20:48,38.93,100.45,72.88,29,93,0.43
85,Llangefni,GB,2020-09-06 02:20:48,53.26,-4.31,57.2,82,72,12.75
86,Wonthaggi,AU,2020-09-06 02:20:48,-38.6,145.59,66.99,49,0,8.66
87,Jamestown,US,2020-09-06 02:17:35,42.1,-79.24,59.0,87,75,5.82
88,Muros,ES,2020-09-06 02:20:48,42.78,-9.06,66.0,73,7,8.99
89,Kozhva,RU,2020-09-06 02:20:49,65.11,57.05,52.79,93,100,6.82
90,Quecholac,MX,2020-09-06 02:20:49,18.95,-97.67,66.99,73,34,1.01
91,Pevek,RU,2020-09-06 02:20:49,69.7,170.31,43.11,65,0,13.51
92,Bengkulu,ID,2020-09-06 02:18:41,-3.8,102.27,80.69,77,57,6.51
93,Soe,ID,2020-09-06 02:20:50,-9.86,124.28,80.69,41,32,12.37
94,Aykhal,RU,2020-09-06 02:20:50,66.0,111.5,42.8,81,90,6.71
95,Buckeye,US,2020-09-06 02:20:50,33.37,-112.58,111.2,14,1,3.44
96,Eureka,US,2020-09-06 02:20:51,40.8,-124.16,69.01,78,1,5.01
97,Juneau,US,2020-09-06 02:20:51,58.3,-134.42,59.0,58,75,6.93
98,Deputatskiy,RU,2020-09-06 02:20:51,69.3,139.9,42.87,97,100,3.02
99,Maniitsoq,GL,2020-09-06 02:20:51,65.42,-52.9,45.0,95,100,5.7
100,Labuhan,ID,2020-09-06 02:20:52,-6.88,112.21,84.04,62,73,6.51
101,Urucara,BR,2020-09-06 02:20:52,-2.54,-57.76,79.45,46,33,1.63
102,Busselton,AU,2020-09-06 02:20:52,-33.65,115.33,64.99,83,100,27.42
103,Beringovskiy,RU,2020-09-06 02:18:39,63.05,179.32,49.48,76,98,12.12
104,Kodiak,US,2020-09-06 02:19:37,57.79,-152.41,53.6,76,75,14.99
105,Pandan,PH,2020-09-06 02:20:53,14.05,124.17,88.45,64,68,4.05
106,Lata,PT,2020-09-06 02:20:53,40.16,-8.33,72.0,67,0,3.87
107,Katsuura,JP,2020-09-06 02:19:09,35.13,140.3,87.01,88,75,12.75
108,Visnes,NO,2020-09-06 02:20:54,59.36,5.22,53.6,81,100,23.04
109,Escarcega,MX,2020-09-06 02:20:54,18.61,-90.75,74.75,96,82,2.66
110,Kruisfontein,ZA,2020-09-06 02:20:54,-34.0,24.73,55.99,93,94,1.39
