City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
245,Butaritari,KI,83.32,overcast clouds,3.07,172.79,Isles Sunset Lodge
247,Machiques,VE,76.62,light rain,10.06,-72.55,"Mi Casita Club, Machiques"
257,Sibolga,ID,87.91,broken clouds,1.74,98.78,Hotel Syariah CN Darussalam
267,Hilo,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
272,Faanui,PF,77.61,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
274,Ankang,CN,85.57,clear sky,32.68,109.02,安琪酒店
278,Mecca,SA,89.37,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
286,Cobija,BO,80.33,overcast clouds,-11.03,-68.77,Hotel Obelisco
294,Luwuk,ID,82.45,moderate rain,-0.95,122.79,Hotel Santika Luwuk
298,Panaba,MX,75.74,broken clouds,21.28,-88.27,Hotel Amor
302,Hambantota,LK,82.4,scattered clouds,6.12,81.12,Bungalow 63
305,Diourbel,SN,77.0,broken clouds,14.66,-16.39,ISFAR maison Blanche
307,Kahului,US,84.2,scattered clouds,20.89,-156.47,Maui Seaside Hotel
313,Maraba,BR,77.45,few clouds,-5.37,-49.12,Hotel Del Principe
314,Atuona,PF,78.66,light rain,-9.8,-139.03,Villa Enata
319,Comillas,PH,89.6,broken clouds,15.4,120.7,Morales Resort
321,Manjeri,IN,75.2,light rain,11.12,76.12,ITTC
325,Atuona,PF,78.66,light rain,-9.8,-139.03,Villa Enata
327,Hambantota,LK,82.4,scattered clouds,6.12,81.12,Bungalow 63
332,Portland,US,79.0,clear sky,45.52,-122.68,Portland Marriott City Center
340,Atuona,PF,78.66,light rain,-9.8,-139.03,Villa Enata
346,Sharjah,AE,89.6,clear sky,25.36,55.4,Swiss Belhotel Sharjah
349,Atar,MR,86.04,overcast clouds,20.52,-13.05,Oumou Elghoura
350,Kapaa,US,82.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
354,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
358,Kapaa,US,82.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
359,Alugan,PH,86.14,light rain,12.22,125.48,BEMBEM RAIN FEED RESORT
360,Padang,ID,85.69,clear sky,-0.95,100.35,Mercure Padang
361,Hilo,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
368,Butaritari,KI,83.32,overcast clouds,3.07,172.79,Isles Sunset Lodge
369,Kudahuvadhoo,MV,82.85,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
373,Georgetown,MY,87.8,few clouds,5.41,100.34,Cititel Penang
375,Cayenne,GF,78.8,broken clouds,4.93,-52.33,Hôtel Le Dronmi
377,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
388,Kapaa,US,82.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
397,Isangel,VU,75.24,overcast clouds,-19.55,169.27,Volcano Sea View Tree House
400,Georgetown,MY,87.8,few clouds,5.41,100.34,Cititel Penang
411,Acapulco,MX,80.51,overcast clouds,16.86,-99.89,HS Hotsson Smart Acapulco
413,Pangkalanbuun,ID,84.88,overcast clouds,-2.68,111.62,Grand Kecubung Hotel
417,Hirara,JP,86.0,broken clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
420,Koungou,YT,75.2,scattered clouds,-12.73,45.2,Villa Netibor
436,Emerald,AU,82.4,overcast clouds,-23.53,148.17,The Irish Village
440,Kudahuvadhoo,MV,82.85,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
442,Lichuan,CN,80.15,clear sky,30.3,108.85,Yicheng Hotel
443,Ginda,IN,82.4,mist,30.69,78.49,Bal uma sankar hotel and restaurant
450,Ibiracu,BR,75.0,few clouds,-19.83,-40.37,Pousada João e Maria
461,Shirvan,AZ,79.52,clear sky,39.95,48.9,Hotel Empire
464,Amahai,ID,76.86,light rain,-3.33,128.92,Peternakan Ayam Bangkok Manisso
472,Zhangjiakou,CN,76.37,clear sky,40.81,114.88,Shell Zhangjiakou City Qiaodong District Ginza Hotel
475,Kapaa,US,82.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
477,Atuona,PF,78.66,light rain,-9.8,-139.03,Villa Enata
482,Hilo,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
484,Chor,PK,85.98,clear sky,25.52,69.77,Asad U Bajeer Hotel
493,Marzuq,YE,79.68,scattered clouds,14.4,46.47,
497,Tura,IN,79.2,light rain,25.52,90.22,Hotel RIKMAN Continental
501,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
502,Nichinan,JP,87.8,broken clouds,31.6,131.37,Guest House Aki
504,Bhimunipatnam,IN,86.0,scattered clouds,17.88,83.43,Bheemili Court
505,Harper,LR,76.08,light rain,4.38,-7.72,Screensaver
510,Atuona,PF,78.66,light rain,-9.8,-139.03,Villa Enata
511,Palu,ID,83.91,moderate rain,-0.89,119.87,Hotel Santika Palu
512,Butaritari,KI,83.32,overcast clouds,3.07,172.79,Isles Sunset Lodge
517,Atuona,PF,78.66,light rain,-9.8,-139.03,Villa Enata
518,Kapaa,US,82.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
522,Naspur,IN,85.55,scattered clouds,18.83,79.45,Mancherla venkatswamy
524,Mackay,AU,78.01,clear sky,-21.15,149.2,International Lodge Motel
527,Manacapuru,BR,77.0,broken clouds,-3.3,-60.62,Novo Hotel
528,Bilma,NE,86.4,few clouds,18.69,12.92,Expeditions Ténére voyages
529,Erzin,TR,78.01,clear sky,36.96,36.2,Artemis Otel
534,Emerald,AU,82.4,overcast clouds,-23.53,148.17,The Irish Village
536,Faanui,PF,77.61,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
545,Inirida,CO,75.04,overcast clouds,3.87,-67.92,Fuente del Guania Hotel de Lujo
